DATAFLOW,MEASURE,VALUE,SECTOR,WORK_TYPE,BUILDING_TYPE,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1994-01,3566,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1994-02,3958,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1994-03,5021,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1994-04,4027,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1994-05,5592,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1994-06,5118,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1994-07,4497,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1994-08,5339,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1994-09,4986,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1994-10,4182,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1994-11,4399,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1994-12,3222,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1995-01,2798,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1995-02,2903,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1995-03,3539,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1995-04,2798,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1995-05,3129,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1995-06,3261,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1995-07,2580,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1995-08,2946,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1995-09,2518,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1995-10,2496,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1995-11,2575,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1995-12,2215,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1996-01,1865,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1996-02,2404,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1996-03,2420,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1996-04,2681,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1996-05,3050,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1996-06,2589,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1996-07,2984,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1992-02,3500,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1992-03,3541,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1992-04,3394,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1992-05,4169,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1992-06,4176,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1992-07,3810,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1992-08,3953,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1992-09,3731,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1992-10,4138,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1992-11,3819,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1992-12,3758,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1993-01,3129,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1993-02,3417,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1993-03,4494,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1993-04,4378,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1993-05,4470,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1993-06,4709,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1991-07,3267,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1991-08,3375,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1991-09,3249,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1991-10,3921,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1991-11,3513,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1991-12,2940,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1992-01,2852,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,7,M,1996-07,161,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,7,M,1996-08,165,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,7,M,1996-09,141,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,7,M,1996-10,169,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,7,M,1996-11,228,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,7,M,1996-12,110,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,7,M,1997-01,106,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,7,M,1997-02,105,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,7,M,1997-03,151,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,7,M,1997-04,231,NUM,0,,
